,snowpit,longitude,latitude,total_depth (cm),SS,WS,DH,NDVI_mean,TPI_mean,Sx_270_mean
0,A02C,-133.50635,68.73713,20,0.2,0.2,0.6,0.486398134475902,-0.233491592854261,0.015001865682997
1,A02E,-133.50397,68.73695,20,0,0.35,0.65,0.525729238895574,-0.293727386328909,-0.000583210654878
2,A02W,-133.509434,68.737101,22,0.136363636363636,0.227272727272727,0.636363636363636,0.516462096401623,-0.368821489183526,0.016588676140889
3,A03E,-133.483415,68.738577,42,0.285714285714286,0,0.714285714285714,0.561774729827834,0.123894084422361,0.022631478469889
4,A03W,-133.487625,68.737686,109,0.064220183486239,0.651376146788991,0.284403669724771,0.581725254182261,0.415070479637698,0.188024495053878
5,A04C,-133.50446,68.74712,31,0,0.193548387096774,0.806451612903226,0.445649017966247,-0.081729122682622,0.010821102458658
6,A04N,-133.50595,68.7478,27,0,0.296296296296296,0.703703703703704,0.416091726079384,-0.098405393875308,0.011178495875154
7,A04S,-133.50279,68.74644,38,0,0.394736842105263,0.605263157894737,0.411796854360485,0.022983725143907,0.028459823644165
8,A05C,-133.50851,68.73286,30,0.133333333333333,0.3,0.566666666666667,0.548746736199748,0.333486311965519,-0.009762794510842
9,A05N,-133.50377,68.73407,26,0.230769230769231,0.307692307692308,0.461538461538462,0.586455246436037,0.661233110560311,0.002087834934609
10,A06C,-133.468834,68.730976,24,0.291666666666667,0.208333333333333,0.5,0.523100550040026,0.347406464187722,0.015219174344402
11,A06N,-133.4702,68.73173,24,0.25,0.125,0.208333333333333,0.485129544876554,-0.048640659492877,0.013221953883414
12,A07C,-133.55553,68.73992,45,0.133333333333333,0.222222222222222,0.644444444444444,0.581035967853073,0.492459141072773,0.053826739032181
13,A07W,-133.57109,68.74072,32,0.1875,0.15625,0.65625,0.546804835208097,-0.679427355527878,-0.022739167661908
14,A08E,-133.570645,68.719272,36,0.222222222222222,0.166666666666667,0.611111111111111,0.44056123385475,-0.072836542404012,-0.021209717946271
15,A08W,-133.59023,68.7148,18,0.333333333333333,0.166666666666667,0.5,0.546054711309622,0.02974240300763,-0.022109652872984
16,A09E,-133.69228,68.692,30,0.133333333333333,0.166666666666667,0.7,0.442464814651576,,
17,A09W,-133.71884,68.68571,39,0.076923076923077,0.435897435897436,0.487179487179487,0.548619078454621,,
18,A11,-133.36221,68.76556,25,0.24,0.48,0.28,0.007865581821776,,
19,A12,-133.28407,68.74391,16,0.375,0.25,0.375,-0.06616062619171,,
20,A13,-133.193639,68.718883,25,0.36,0.36,0.28,-0.19981508782555,,
21,A14,-133.10991,68.69576,20,0.5,0,0.5,-0.176521232909688,,
